close,position,returns,cumulative_returns,buy_hold_returns,buy_hold_cumulative_returns
228.64,1,0.02267746119783509,1.6894997413729391,0.02267746119783509,1.4990820875950688
223.03,1,-0.024536389083274934,1.6480455183625202,-0.024536389083274934,1.4623000262260681
237.16,1,0.06335470564498058,1.7524569570679072,0.06335470564498058,1.554943613952268
266.24,1,0.12261764209816173,1.9673390970220934,0.12261764209816173,1.7456071334906895
268.48,0,0.008413461538461675,1.9838912288480006,0.008413461538461675,1.7602937319695777
285.4,0,0.0,1.9838912288480006,0.06302145411203797,1.8712300026226065
265.08,0,-0.0,1.9838912288480006,-0.07119831814996491,1.7380015735641225
258.87,0,-0.0,1.9838912288480006,-0.023426889995473044,1.6972856018882767
268.0,0,0.0,1.9838912288480006,0.03526866767103187,1.7571466037241017
282.96,0,0.0,1.9838912288480006,0.055820895522388,1.8552321007081036
